   vethb546762    
 KB/s in  KB/s out
101722.7  112824.9
101769.0  112869.4
95857.59  106330.6
96070.39  106595.5
102548.1  113737.4
106082.8  117686.1
105875.0  117427.8
99038.11  109850.6
100078.0  111034.3
97774.80  108456.8
97444.39  108086.3
100659.5  111650.2
98156.78  108930.7
101642.7  112719.9
105213.2  116703.1
110524.5  122617.3
96770.85  107333.1
101517.9  112600.5
103504.1  114841.2
106999.7  118687.1
101694.3  112791.2
95106.30  105491.4
   vethb546762    
 KB/s in  KB/s out
100851.5  111869.7
103147.9  114433.5
104223.3  115602.0
105339.0  116837.9
101580.6  112702.1
96520.40  107059.5
104437.4  115843.7
104362.6  115780.1
105406.1  116945.5
99404.39  110236.6
98075.55  108820.4
106476.0  118081.8
101657.7  112756.8
97232.86  107894.9
105246.8  116746.3
95042.24  105411.9
106736.5  118396.0
94485.00  104810.9
104708.1  116168.3
109833.5  121853.5
98730.62  109471.8
105546.3  117112.6
   vethb546762    
 KB/s in  KB/s out
104371.3  115760.5
97591.41  108232.0
94070.17  104341.4
100161.1  111112.6
105939.4  117507.7
96330.61  106894.9
102183.9  113368.2
99885.89  110776.7
98414.47  109159.2
99974.87  110901.3
101808.7  112909.8
93205.42  103397.0
98406.99  109198.5
99337.49  110150.4
100364.0  111330.3
108762.2  120680.5
104402.3  115803.9
98421.09  109157.9
96366.03  106891.5
101092.5  112149.3
104313.5  115700.9
102980.5  114241.0
   vethb546762    
 KB/s in  KB/s out
106163.3  117777.9
100739.2  111729.9
93828.65  104066.3
96476.52  107034.9
93084.58  103250.6
100267.5  111220.3
97963.27  108684.8
96155.96  106651.8
98730.27  109507.8
101117.1  112219.1
99747.71  110611.7
97390.16  108017.4
102757.1  113993.8
99946.90  110878.8
104060.2  115417.2
99109.07  109987.1
101227.5  112245.2
96937.56  107528.1
92656.97  102778.4
93612.19  103845.4
94740.03  105099.3
96411.74  106948.7
   vethb546762    
 KB/s in  KB/s out
100036.5  110959.7
101010.0  112048.9
97242.43  107872.2
97442.12  108087.8
97501.97  108147.0
95088.20  105482.5
96900.74  107480.4
102215.6  113405.6
100495.8  111458.1
104863.4  116339.1
104094.4  115452.9
100176.2  111123.7
99575.57  110440.7
97144.74  107776.7
99697.61  110580.7
101655.5  112772.4
100044.7  110973.8
94934.12  105300.2
101371.9  112451.5
100242.7  111182.8
91369.68  101351.4
91725.63  101728.7
   vethb546762    
 KB/s in  KB/s out
13850.91  15336.36
    0.00      0.00
    0.00      0.00
    0.04      0.04
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.10
    0.00      0.00
    0.00      0.00
    0.00      0.00
