   vethedbce2d    
 KB/s in  KB/s out
104136.1    176.96
125568.2    189.47
64874.59    120.81
58073.78    118.49
104160.3    157.53
129342.4    194.05
64999.99    121.74
53609.73    111.64
103788.3    157.42
130901.5    201.47
75112.78    131.27
44438.44    127.85
100566.8    156.99
151736.9    199.82
78127.58    128.06
43468.42    113.30
84834.77    131.03
57127.60     99.48
88918.59    155.29
142131.4    197.88
74728.83    135.05
44167.79     85.25
   vethedbce2d    
 KB/s in  KB/s out
79047.62    138.14
34796.47     78.92
80652.71    139.84
150394.7    211.51
76070.43    152.77
57956.82     96.46
72916.72    136.29
152047.0    208.85
78869.60    144.11
127099.8    196.82
94247.23    156.84
139290.2    202.32
96438.87    150.34
49531.00    106.72
69978.38    133.67
64121.44    103.48
74965.65    125.29
59736.29    114.16
61444.71    128.02
121590.8    185.98
116371.5    171.51
58533.80    116.92
   vethedbce2d    
 KB/s in  KB/s out
55971.98    128.04
119279.5    173.50
121378.2    180.52
67826.36    208.87
52088.05    121.92
111609.9    176.14
116776.0    187.35
97487.35    164.43
128312.5    186.12
74528.28    119.89
57891.62    110.29
92204.58    141.06
131940.1    184.62
    0.00      0.00
    0.00      0.00
